"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"1",10405124,"HZ141351","02-01-2016 16:30","014XX W ELMDALE AVE","1570","SEX OFFENSE","PUBLIC INDECENCY","RESIDENCE PORCH/HALLWAY",FALSE,FALSE,2013,20,48,77,"17",1165687,1939962,2016,"02-10-2016 15:51",41.99084816,-87.66592324,"(41.990848162, -87.665923238)"
"2",1924692,"G735788","12-08-2001 16:45","001XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM",TRUE,FALSE,122,1,NA,NA,"11",1176290,1901660,2001,"08/17/2015 03:03:40 PM",41.88551298,-87.62808224,"(41.885512978, -87.628082243)"
"3",10493833,"HZ234549","03-09-2016 12:00","059XX W BYRON ST","1156","DECEPTIVE PRACTICE","ATTEMPT - FINANCIAL IDENTITY THEFT","RESIDENCE",FALSE,FALSE,1633,16,38,15,"11",NA,NA,2016,"04/22/2016 03:52:23 PM",NA,NA,""
"4",10405138,"HZ141570","02-01-2016 12:30","007XX W WEBSTER AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","RESTAURANT",FALSE,FALSE,1812,18,43,7,"11",1170774,1914849,2016,"02-10-2016 15:51",41.92182697,-87.64795092,"(41.921826967, -87.647950922)"
"5",10405158,"HZ141585","02-01-2016 08:10","061XX S WOLCOTT AVE","890","THEFT","FROM BUILDING","SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,714,7,15,67,"6",1164741,1863948,2016,"02-10-2016 15:51",41.78227994,-87.67155906,"(41.782279941, -87.671559063)"
"6",1924699,"G779494","11-02-2001 17:55","001XX S LA SALLE ST","1130","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","BANK",FALSE,FALSE,112,1,NA,NA,"11",1175197,1899581,2001,"08/17/2015 03:03:40 PM",41.87983266,-87.63215828,"(41.879832659, -87.632158282)"
"7",19247,"HS119744","01/14/2010 12:15:00 PM","067XX N SHERIDAN RD","110","HOMICIDE","FIRST DEGREE MURDER","HALLWAY",TRUE,FALSE,2432,24,49,1,"01A",1167032,1944822,2010,"08/17/2015 03:03:40 PM",42.00415523,-87.66083563,"(42.00415523, -87.660835633)"
"8",10405227,"HZ140585","01/14/2016 09:30:00 PM","073XX S CALUMET AVE","460","BATTERY","SIMPLE","SIDEWALK",FALSE,FALSE,323,3,6,69,"08B",1179746,1856522,2016,"02-10-2016 15:51",41.76157217,-87.61677372,"(41.761572168, -87.616773722)"
"9",10405248,"HZ141627","02-02-2016 08:00","024XX E 78TH ST","610","BURGLARY","FORCIBLE ENTRY","APARTMENT",FALSE,FALSE,421,4,7,43,"5",1193681,1853719,2016,"02-10-2016 15:51",41.75355063,-87.56579312,"(41.753550633, -87.565793115)"
"10",10405273,"HZ141757","01/30/2016 06:34:00 PM","067XX N CALIFORNIA AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","RESIDENCE",FALSE,FALSE,2412,24,50,2,"11",1156443,1944549,2016,"02-10-2016 15:51",42.00362773,-87.6998001,"(42.00362773, -87.699800098)"
"11",10405281,"HZ141772","01/28/2016 01:00:00 PM","068XX S CALIFORNIA AVE","910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET",FALSE,FALSE,831,8,18,66,"7",1158887,1859257,2016,"02-10-2016 15:51",41.76952879,-87.6931496,"(41.76952879, -87.693149601)"
"12",10405299,"HZ141719","01/23/2016 02:00:00 PM","053XX N DELPHIA AVE","890","THEFT","FROM BUILDING","RESIDENCE PORCH/HALLWAY",FALSE,FALSE,1614,16,41,76,"6",1117975,1934185,2016,"02-10-2016 15:51",41.9758816,-87.84154492,"(41.975881601, -87.841544922)"
"13",10405306,"HZ141811","02-01-2016 14:00","050XX S CHAMPLAIN AVE","486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT",FALSE,TRUE,223,2,4,38,"08B",1181453,1871562,2016,"02-10-2016 15:51",41.80280415,-87.6100538,"(41.802804149, -87.610053795)"
