text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@pavnimittal @SRKUniverse @HNY @iamsrk @MandviSharma @KKRiders no but in the USA. I would love to see the interview. Thanks,FALSE,0,pavnimittal,10/26/2014 1:25,FALSE,5.2601E+17,5.26183E+17,70194576,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Farzu5,0,FALSE,FALSE,NA,NA
RT @pavnimittal: hear @HNY has broken BO records.good time to #plug my @iamsrk intvw where he talks business https://t.co/oqTKq6DGEg @Mandv‚Ä¶,FALSE,0,NA,10/26/2014 0:50,FALSE,NA,5.26174E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BeingKingSRK,60,TRUE,FALSE,NA,NA
RT @pavnimittal: hear @HNY has broken BO records.good time to #plug my @iamsrk intvw where he talks business https://t.co/oqTKq6DGEg @Mandv‚Ä¶,FALSE,0,NA,10/25/2014 22:44,FALSE,NA,5.26142E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",iamBillah,60,TRUE,FALSE,NA,NA
RT @pavnimittal: hear @HNY has broken BO records.good time to #plug my @iamsrk intvw where he talks business https://t.co/oqTKq6DGEg @Mandv‚Ä¶,FALSE,0,NA,10/25/2014 21:39,FALSE,NA,5.26126E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",iamsomu,60,TRUE,FALSE,NA,NA
RT @pavnimittal: hear @HNY has broken BO records.good time to #plug my @iamsrk intvw where he talks business https://t.co/oqTKq6DGEg @Mandv‚Ä¶,FALSE,0,NA,10/25/2014 20:59,FALSE,NA,5.26116E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sparksood,60,TRUE,FALSE,NA,NA
.@wasimakramlive is going to be on #ComedyNightsWithKapil this weekend!! excited!! Ì†ΩÌ∏Ä @KapilSharmaK9 @KKRiders @iamShaniera @ColorsTV,FALSE,0,NA,10/25/2014 20:44,FALSE,NA,5.26112E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mehreenranax,0,FALSE,FALSE,NA,NA
RT @pavnimittal: hear @HNY has broken BO records.good time to #plug my @iamsrk intvw where he talks business https://t.co/oqTKq6DGEg @Mandv‚Ä¶,FALSE,0,NA,10/25/2014 20:29,FALSE,NA,5.26108E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",A__haque,60,TRUE,FALSE,NA,NA
RT @pavnimittal: hear @HNY has broken BO records.good time to #plug my @iamsrk intvw where he talks business https://t.co/oqTKq6DGEg @Mandv‚Ä¶,FALSE,0,NA,10/25/2014 20:19,FALSE,NA,5.26106E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",38Vikki,60,TRUE,FALSE,NA,NA
"RT @VenkyMysore: On behalf @KKRiders, Happy Diwali to all. This year Happy New Year wishes @HNY also coming early!! Hope everyone enjoys #I‚Ä¶",FALSE,0,NA,10/25/2014 19:31,FALSE,NA,5.26094E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Zainab_reyaz,90,TRUE,FALSE,NA,NA
"RT @Vinay_Kumar_R: All the very best for ur much waited movie 'HNY' SRK, hope it breaks all the record..Ì†ΩÌ±çÌ†ΩÌ±ç@iamsrk @VenkyMysore @KKRiders",FALSE,0,NA,10/25/2014 19:31,FALSE,NA,5.26094E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Zainab_reyaz,78,TRUE,FALSE,NA,NA
"RT @imkuldeep18: @KKRiders Wish you all a very Happy Diwali. Enjoy, be happy and spread happiness around you. Ì†ΩÌ∏äÌ†ΩÌ∏ä http://t.co/nzFzKHnqGW",FALSE,0,NA,10/25/2014 18:56,FALSE,NA,5.26085E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ImzebaRaina,24,TRUE,FALSE,NA,NA
"RT @VenkyMysore: On behalf @KKRiders, Happy Diwali to all. This year Happy New Year wishes @HNY also coming early!! Hope everyone enjoys #I‚Ä¶",FALSE,0,NA,10/25/2014 18:55,FALSE,NA,5.26085E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ImzebaRaina,90,TRUE,FALSE,NA,NA
"RT @imkuldeep18: @KKRiders Neymar, what a talent, genius in the first half.#BarcaVsRealMadrid #ElClasico Ì†ΩÌ∏äÌ†ΩÌ∏ä",FALSE,0,NA,10/25/2014 18:55,FALSE,NA,5.26085E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ImzebaRaina,3,TRUE,FALSE,NA,NA
RT @kkrofficial: @KKRiders @iamsrk @VenkyMysore Congrats for 12 wins in a row. @GautamGambhir @surya_14kumar @SunilPNarine74 @imkuldeep18 T‚Ä¶,FALSE,0,NA,10/25/2014 18:47,FALSE,NA,5.26083E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",iammohamed_srk,599,TRUE,FALSE,NA,NA
"RT @KKRiders: Very well played, @ChennaiIPL! You guys were deserving winners today!
Super stuff, especially that innings from @ImRaina. #CL‚Ä¶",FALSE,0,NA,10/25/2014 18:40,FALSE,NA,5.26081E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",iammohamed_srk,713,TRUE,FALSE,NA,NA
RT @StarSportsIndia: We have the first semifinalist of 2014 #CLT20 @kkriders http://t.co/6GcLymlxg2 http://t.co/PTbHDyzYsY,FALSE,0,NA,10/25/2014 18:38,FALSE,NA,5.2608E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",iammohamed_srk,679,TRUE,FALSE,NA,NA
RT @pavnimittal: hear @HNY has broken BO records.good time to #plug my @iamsrk intvw where he talks business https://t.co/oqTKq6DGEg @Mandv‚Ä¶,FALSE,0,NA,10/25/2014 18:30,FALSE,NA,5.26078E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Nick_Ksg,60,TRUE,FALSE,NA,NA
