text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@lionsdenkxip @PereraThisara  bihar lolz,FALSE,0,lionsdenkxip,10/25/2014 19:27,FALSE,5.2602E+17,5.26093E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",akarsh_chauhan,0,FALSE,FALSE,NA,NA
"@lionsdenkxip @DavidMillerSA12 You bet I miss ""Killer Miller""! It's less than 6 months to next April (and the next IPL)!!!",FALSE,0,lionsdenkxip,10/25/2014 19:00,FALSE,5.25898E+17,5.26086E+17,30631766,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",douglasapollyon,0,FALSE,FALSE,-118.3290138,34.1002893
"RT-to-LIKE, #iOChoice :I Like @lionsdenkxip as #BestIndIPLTeam at http://t.co/T0ewmivsD9",FALSE,0,NA,10/25/2014 18:50,FALSE,NA,5.26083E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nicky13sohi,0,FALSE,FALSE,NA,NA
@lionsdenkxip wriddhiman saha,FALSE,0,lionsdenkxip,10/25/2014 18:02,FALSE,5.25651E+17,5.26071E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mrinmaysarkar10,0,FALSE,FALSE,NA,NA
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/25/2014 18:02,FALSE,NA,5.26071E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mrinmaysarkar10,10,TRUE,FALSE,NA,NA
"@lionsdenkxip follow @Scullers_IN play #FamilynFestivity contest to win exciting prize
#FamilynFestivity",FALSE,0,lionsdenkxip,10/25/2014 16:51,FALSE,NA,5.26053E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tweety_aysshh,0,FALSE,FALSE,NA,NA
"RT @lionsdenkxip: Young fan, Moksh wishing saada sher @Gmaxi_32 a very happy birthday! http://t.co/D1LAKeFPQ9",FALSE,0,NA,10/25/2014 16:41,FALSE,NA,5.26051E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",singhlavi243,15,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: What’s common between @ImMananVohra - @Gmaxi_32 and Diwali? That’s right, FIREWORKS! #KXIPunjabiDiwali http://t.co/ytQTWZ…",FALSE,0,NA,10/25/2014 16:23,FALSE,NA,5.26046E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ShreyHelmets,16,TRUE,FALSE,NA,NA
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/25/2014 16:23,FALSE,NA,5.26046E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ShreyHelmets,10,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: Chandigarh is like home, it’s always great coming back to India – @DavidMillerSA12. SHERON! Do you miss sadda Miller? htt…",FALSE,0,NA,10/25/2014 16:22,FALSE,NA,5.26046E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ShreyHelmets,10,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Can you tell us the birthplace of our lion @PereraThisara ? #KNOWKXIP http://t.co/2gpF83lxjr,FALSE,0,NA,10/25/2014 16:03,FALSE,NA,5.26041E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shataha3,6,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Can you tell us the birthplace of our lion @PereraThisara ? #KNOWKXIP http://t.co/2gpF83lxjr,FALSE,0,NA,10/25/2014 15:32,FALSE,NA,5.26033E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Maxi_update,6,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Can you tell us the birthplace of our lion @PereraThisara ? #KNOWKXIP http://t.co/2gpF83lxjr,FALSE,0,NA,10/25/2014 15:31,FALSE,NA,5.26033E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rajeshgehloth,6,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: What has made @virendersehwag laugh? Caption this pic, sheron! http://t.co/ZujOOum6Ue",FALSE,0,NA,10/25/2014 15:25,FALSE,NA,5.26032E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",upekshasarasi,22,TRUE,FALSE,NA,NA
@lionsdenkxip @virendersehwag @ImMananVohra  very good jodi,FALSE,0,lionsdenkxip,10/25/2014 15:03,FALSE,5.21957E+17,5.26026E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",319Gauravrai,0,FALSE,FALSE,NA,NA
@lionsdenkxip @pererathisara colombo,FALSE,0,lionsdenkxip,10/25/2014 14:55,FALSE,5.2602E+17,5.26024E+17,30631766,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",utkarshmundra10,0,FALSE,FALSE,NA,NA
@lionsdenkxip @PereraThisara colombo,FALSE,0,lionsdenkxip,10/25/2014 14:54,FALSE,5.2602E+17,5.26024E+17,30631766,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IMJO31,0,FALSE,FALSE,NA,NA
@lionsdenkxip @PereraThisara Colombo Sri Lanka,FALSE,0,lionsdenkxip,10/25/2014 14:44,FALSE,5.2602E+17,5.26021E+17,30631766,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Rikkaf123,0,FALSE,FALSE,NA,NA
@lionsdenkxip @PereraThisara in a hospital? #KNOWKXIP,FALSE,0,lionsdenkxip,10/25/2014 14:43,FALSE,5.2602E+17,5.26021E+17,30631766,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",strawbazzer,0,FALSE,FALSE,NA,NA
"@lionsdenkxip @PereraThisara colombo , sri lanka",FALSE,0,lionsdenkxip,10/25/2014 14:43,FALSE,5.2602E+17,5.26021E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",zagadeakshay71,0,FALSE,FALSE,NA,NA
RT @lionsdenkxip: Can you tell us the birthplace of our lion @PereraThisara ? #KNOWKXIP http://t.co/2gpF83lxjr,FALSE,0,NA,10/25/2014 14:43,FALSE,NA,5.26021E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",SupportIPL,6,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Can you tell us the birthplace of our lion @PereraThisara ? #KNOWKXIP http://t.co/2gpF83lxjr,FALSE,0,NA,10/25/2014 14:42,FALSE,NA,5.26021E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",BCCITV,6,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Can you tell us the birthplace of our lion @PereraThisara ? #KNOWKXIP http://t.co/2gpF83lxjr,FALSE,0,NA,10/25/2014 14:41,FALSE,NA,5.26021E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",iplscoreupdate,6,TRUE,FALSE,NA,NA
"@lionsdenkxip @PereraThisara Colombo , Sri Lanka.",FALSE,0,lionsdenkxip,10/25/2014 14:40,FALSE,5.2602E+17,5.2602E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Sodhi_Rajbir,0,FALSE,FALSE,NA,NA
@lionsdenkxip @akshar2026 4th highest at 54,FALSE,0,lionsdenkxip,10/25/2014 14:33,FALSE,5.26018E+17,5.26019E+17,30631766,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",_harshdeep,0,FALSE,FALSE,NA,NA
Follow us here for all d latest on #Tennis &amp;team #PunjabMarshalls @JeevMilkhaSingh @lionsdenkxip @pu_lhr_official @harbhajan_singh,FALSE,0,NA,10/25/2014 12:50,FALSE,NA,5.25993E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",punjabmarshalls,0,FALSE,FALSE,NA,NA
"RT @lionsdenkxip: Chandigarh is like home, it’s always great coming back to India – @DavidMillerSA12. SHERON! Do you miss sadda Miller? htt…",FALSE,0,NA,10/25/2014 12:03,FALSE,NA,5.25981E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MannaTusar,10,TRUE,FALSE,NA,NA
@lionsdenkxip Wriddhiman Saha,FALSE,1,lionsdenkxip,10/25/2014 10:39,FALSE,5.25651E+17,5.2596E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sheeba62348878,0,FALSE,FALSE,NA,NA
"RT @lionsdenkxip: Chandigarh is like home, it’s always great coming back to India – @DavidMillerSA12. SHERON! Do you miss sadda Miller? htt…",FALSE,0,NA,10/25/2014 10:07,FALSE,NA,5.25952E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BlackPinkeee,10,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: Chandigarh is like home, it’s always great coming back to India – @DavidMillerSA12. SHERON! Do you miss sadda Miller? htt…",FALSE,0,NA,10/25/2014 8:51,FALSE,NA,5.25933E+17,NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",DivyaOfficial_1,10,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: Chandigarh is like home, it’s always great coming back to India – @DavidMillerSA12. SHERON! Do you miss sadda Miller? htt…",FALSE,0,NA,10/25/2014 8:24,FALSE,NA,5.25926E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",10Aravind01,10,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: Chandigarh is like home, it’s always great coming back to India – @DavidMillerSA12. SHERON! Do you miss sadda Miller? htt…",FALSE,0,NA,10/25/2014 7:42,FALSE,NA,5.25915E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RimasRiyas,10,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: Chandigarh is like home, it’s always great coming back to India – @DavidMillerSA12. SHERON! Do you miss sadda Miller? htt…",FALSE,0,NA,10/25/2014 7:34,FALSE,NA,5.25913E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnweshaMimz,10,TRUE,FALSE,NA,NA
@lionsdenkxip @DavidMillerSA12 ohh yes yes !!! We missed you so much PEANUT !! come back soon....waiting :(,FALSE,0,lionsdenkxip,10/25/2014 7:34,FALSE,5.25898E+17,5.25913E+17,30631766,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnweshaMimz,0,FALSE,FALSE,NA,NA
@lionsdenkxip wishes you a Happy #Diwali...... http://t.co/3DhvSoq7HY @virendersehwag,FALSE,0,lionsdenkxip,10/25/2014 6:19,FALSE,NA,5.25894E+17,30631766,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>",PremnathPk,0,FALSE,FALSE,NA,NA
"RT @lionsdenkxip: Sheron, join us in wishing sadda sher @Wriddhipops a very happy birthday. Have a good day and year ahead! http://t.co/tah…",FALSE,0,NA,10/25/2014 2:43,FALSE,NA,5.2584E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TheNDsingh,16,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: Sheron, join us in wishing sadda sher @Wriddhipops a very happy birthday. Have a good day and year ahead! http://t.co/tah…",FALSE,0,NA,10/24/2014 22:15,FALSE,NA,5.25773E+17,NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",ALEEZASAEEDSA12,16,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Congratulations to our lion @DavidMillerSA12 and South Africa for winning 2nd ODI against New Zealand by 72 runs. http://…,FALSE,0,NA,10/24/2014 22:14,FALSE,NA,5.25772E+17,NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>",ALEEZASAEEDSA12,11,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: What’s common between @ImMananVohra - @Gmaxi_32 and Diwali? That’s right, FIREWORKS! #KXIPunjabiDiwali http://t.co/ytQTWZ…",FALSE,0,NA,10/24/2014 18:19,FALSE,NA,5.25713E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",arorakartik488,16,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: Sheron, join us in wishing sadda sher @Wriddhipops a very happy birthday. Have a good day and year ahead! http://t.co/tah…",FALSE,0,NA,10/24/2014 18:19,FALSE,NA,5.25713E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",arorakartik488,16,TRUE,FALSE,NA,NA
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/24/2014 18:18,FALSE,NA,5.25713E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",arorakartik488,10,TRUE,FALSE,NA,NA
"RT @lionsdenkxip: What’s common between @ImMananVohra - @Gmaxi_32 and Diwali? That’s right, FIREWORKS! #KXIPunjabiDiwali http://t.co/ytQTWZ…",FALSE,0,NA,10/24/2014 18:17,FALSE,NA,5.25713E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Unicorn722,16,TRUE,FALSE,NA,NA
RT @lionsdenkxip: Congratulations to our lion @DavidMillerSA12 and South Africa for winning 2nd ODI against New Zealand by 72 runs. http://…,FALSE,0,NA,10/24/2014 18:17,FALSE,NA,5.25713E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Unicorn722,11,TRUE,FALSE,NA,NA
@lionsdenkxip  wridhiman saha,FALSE,0,lionsdenkxip,10/24/2014 18:17,FALSE,5.25651E+17,5.25713E+17,30631766,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",arorakartik488,0,FALSE,FALSE,NA,NA
@GulPanag @lionsdenkxip May god know WHAT MAKES HIM WORLD’S SECOND RICHEST ACTOR? http://t.co/md9PEIFyVF #touchtalent #SexyList2014,FALSE,0,GulPanag,10/24/2014 17:47,FALSE,NA,5.25705E+17,23061619,"<a href=""http://tweetca.st"" rel=""nofollow"">tweetca.st</a>",artist_cruz,0,FALSE,FALSE,NA,NA
RT @cheteshwar1: with @virendersehwag and @Gmaxi_32 @lionsdenkxip @IPL http://t.co/SVtYTlIJ8l,FALSE,0,NA,10/24/2014 17:24,FALSE,NA,5.25699E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Ankaj9759725840,81,TRUE,FALSE,NA,NA
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/24/2014 16:12,FALSE,NA,5.25681E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ipl62013,10,TRUE,FALSE,NA,NA
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/24/2014 16:09,FALSE,NA,5.25681E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Maxi_update,10,TRUE,FALSE,NA,NA
@lionsdenkxip Wriddhiman Saha,FALSE,0,lionsdenkxip,10/24/2014 15:14,FALSE,5.25651E+17,5.25667E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",anish_04,0,FALSE,FALSE,NA,NA
@lionsdenkxip @Gmaxi_32 Great Maxi in action,FALSE,0,lionsdenkxip,10/24/2014 15:10,FALSE,5.24223E+17,5.25666E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ShohaibKhan10,0,FALSE,FALSE,NA,NA
#HappyBirthday Wriddhiman Saha (Bengalborn 24 October 1984) is an Indian cricketer. IPL - @lionsdenkxip #cricket,FALSE,0,NA,10/24/2014 14:53,FALSE,NA,5.25661E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ishisuru,0,FALSE,FALSE,NA,NA
@lionsdenkxip @Wriddhipops,FALSE,0,lionsdenkxip,10/24/2014 14:27,FALSE,5.25651E+17,5.25655E+17,30631766,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",uvaisazeez,0,FALSE,FALSE,NA,NA
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/24/2014 14:23,FALSE,NA,5.25654E+17,NA,"<a href=""http://www.samsungmobile.com"" rel=""nofollow"">Samsung Mobile</a>",princenaga143,10,TRUE,FALSE,NA,NA
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/24/2014 14:19,FALSE,NA,5.25653E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",SupportIPL,10,TRUE,FALSE,NA,NA
@lionsdenkxip WRIDDHIMAN SAHA,FALSE,1,lionsdenkxip,10/24/2014 14:19,FALSE,5.25651E+17,5.25653E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",amitloura44,0,FALSE,FALSE,NA,NA
